statenm,year,hh_total,hh_hhkid,hh_hhnokid,hh_hheld,hh_hhdis,hh_hhearn,hh_total_fail,hh_hhkid_fail,hh_hhnokid_fail,hh_hheld_fail,hh_hhdis_fail,hh_hhearn_fail,hh_total_fail_pctoftotal,hh_hhkid_fail_pctofhhkid,hh_hhnokid_fail_pctofhhnokid,hh_hheld_fail_pctofhheld,hh_hhdis_fail_pctofhhdis,hh_hhearn_fail_pctofhhearn,hh_hhkid_fail_pctoffail,hh_hhnokid_fail_pctoffail,hh_hheld_fail_pctoffail,hh_hhdis_fail_pctoffail,hh_hhearn_fail_pctoffail
Idaho,2017,74010.529623,36766.446409,37244.083214,13799.507304,20291.680613,27936.145828,325.76941468,90.940424277,234.8289904,78.276330134,78.276330134,325.76941468,0.44,0.25,0.63,0.57,0.39,1.17,27.92,72.08,24.03,24.03,100
Illinois,2017,969390.27001,360870.52672,608519.74329,212670.66855,167814.94729,307215.90608,58694.518299,24487.997536,34206.520763,18080.940509,7457.2611731,31021.395793,6.05,6.79,5.62,8.5,4.44,10.1,41.72,58.28,30.81,12.71,52.85
Indiana,2017,285001.21529,139948.96581,145052.24948,54653.955894,83513.100265,92363.835158,282.68175746,0,282.68175746,0,0,282.68175746,0.1,0,0.19,0,0,0.31,0,100,0,0,100
Iowa,2017,169304.75411,71634.222287,97670.531827,30167.087214,41148.568838,69017.95938,14478.932966,6006.7710485,8472.1619179,3424.3876603,1970.2294567,10150.816442,8.55,8.39,8.67,11.35,4.79,14.71,41.49,58.51,23.65,13.61,70.11
Kansas,2017,106772.33034,47808.798518,58963.531827,21108.197289,30936.383641,34367.879078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2017,302990.95678,127831.10693,175159.84984,58661.836566,87172.142006,70556.499958,7556.7298709,0,7556.7298709,7203.6068916,0,353.12297934,2.49,0,4.31,12.28,0,0.5,0,100,95.33,0,4.67
Louisiana,2017,426173.65512,190282.2765,235891.37862,90534.34624,103147.98628,123787.69989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2017,90164.039041,30548.601763,59615.437278,27640.841525,32924.674619,25951.26329,8718.6960005,3371.4339281,5347.2620724,2714.8387827,1997.2182494,5257.9250715,9.67,11.04,8.97,9.82,6.07,20.26,38.67,61.33,31.14,22.91,60.31
Maryland,2017,356300.52027,137980.80481,218319.71545,92155.820159,70232.38972,95831.156264,23458.711106,11023.338309,12435.372797,6339.5853289,2756.5864199,16305.023202,6.58,7.99,5.7,6.88,3.92,17.01,46.99,53.01,27.02,11.75,69.51
Massachusetts,2017,443364.42603,138575.09031,304789.33572,143356.89102,134132.90517,87347.986225,32238.559973,17456.050365,14782.509607,8608.7741966,1535.1268435,22777.057414,7.27,12.6,4.85,6.01,1.14,26.08,54.15,45.85,26.7,4.76,70.65
